"collocation","count","count_nested","length","lambda","z"
"united states",4815,0,2,8.73837544468138,147.638753513258
"fiscal year",841,0,2,7.03856593110048,85.9631200859097
"last session",428,0,2,5.83776285249217,83.7864976173427
"last year",576,0,2,4.03688568602925,82.5367845658346
"report secretary",304,0,2,5.94389687792187,79.7636300828079
"house representatives",274,0,2,7.99145696331271,78.7565219939712
"health care",238,0,2,6.40369101940947,74.2033998879619
"secretary treasury",262,0,2,5.7119227467337,73.8302418852315
"$ billion",467,0,2,6.51244148630422,73.184768511129
"social security",229,0,2,6.44809257902449,71.4496372468615
"annual message",200,0,2,7.12024517187525,71.0869415345704
"federal government",479,0,2,3.82750988361574,70.8413200880694
"american people",438,0,2,3.81174030508551,70.1816828770508
"years ago",298,0,2,6.4004513778253,68.5855320270118
"let us",268,0,2,5.83740728959109,68.3216699769507
"public debt",284,0,2,5.16356036992668,67.7797590514087
"past year",318,0,2,4.51845693697911,66.2955537021704
"ending june",177,0,2,7.70094256853553,65.163505652222
"public lands",255,0,2,5.0311630275863,64.055410845274
"million dollars",163,0,2,6.48335079444956,63.946539272889
"senate house",150,0,2,6.53333341961299,62.2784796985136
"men women",179,0,2,6.64366108976703,62.1728398080992
"soviet union",168,0,2,6.73986787630542,61.3823092795954
"two countries",201,0,2,4.98959390539068,60.800651650137
"billion dollars",141,0,2,6.49160380927036,60.6325359347067
"state union",213,0,2,4.63847031855627,58.8597191290191
"attention congress",284,0,2,3.97745978668944,57.6661777358353
"middle east",127,0,2,8.88100548567054,57.6465397493688
"state local",183,0,2,5.02579498881999,57.1035576990376
"supreme court",145,0,2,8.40107843233553,57.0327417493839
"armed forces",123,0,2,7.20273850259324,56.3216007783873
"secretary interior",137,0,2,6.87251080686422,54.9731203878637
"four years",165,0,2,5.47792933579177,54.2958771911564
"gold silver",97,0,2,6.99196929265135,53.4629330742096
"within limits",128,0,2,6.41729439979692,53.381338547085
"fellow citizens",171,0,2,7.04839080441033,52.9183472983687
"provision made",179,0,2,4.73542631713133,52.8907440507026
"two governments",152,0,2,4.83431708094583,52.4705796382924
"local governments",123,0,2,5.4842909525844,52.386349808808
"secretary war",191,0,2,4.25783055571535,52.3283229403302
"district columbia",181,0,2,9.55013228536667,52.2463819218973
"session congress",225,0,2,4.07724147840283,52.1705458620143
"secretary navy",132,0,2,5.18150561229388,51.9763170472907
"civil service",143,0,2,5.01546167743331,51.7239707592731
"interstate commerce",121,0,2,6.92114815823714,51.6675483684812
"indian tribes",94,0,2,6.74290806199388,51.5622539768109
"natural resources",100,0,2,6.35271115556412,51.4061001930343
"last annual",158,0,2,4.87892283834948,51.141756653724
"sum $",173,0,2,4.892104484387,51.0496571774544
"three years",157,0,2,4.73085434799728,50.9738011026252
