"collocation","count","count_nested","length","lambda","z"
"dumbarton oaks",3,3,2,13.1322047914352,6.34343705243139
"hundred thirty",4,4,2,12.2848514779267,7.22773809224373
"nineteen forty-five",4,4,2,12.2848514779267,7.22773809224373
"marshal stalin",3,3,2,12.0335647765908,7.00335374487692
"nazi-fascist reign",3,3,2,12.0335647765908,7.00335374487692
"rural electrification",9,9,2,11.9332317478478,7.82189544748751
"river basins",5,5,2,11.6381411275535,7.40883190020633
"retribution center",3,3,2,11.5227114258798,7.03108809068289
"atomic energy",12,12,2,11.3602875292573,11.180558496904
"reign terror",3,3,2,11.1862114615447,6.97579084712154
"retirement seniority",3,3,2,11.1862114615447,6.97579084712154
"speaker members",6,6,2,11.1860450791143,7.36351209343255
"ending nazi-fascist",3,3,2,10.9349247609776,8.59374116944857
"life's blood",3,3,2,10.9349247609776,8.59374116944857
"rumania bulgaria",3,3,2,10.9349247609776,8.59374116944857
"privately financed",3,3,2,10.9348693047811,6.90482899065275
"unexpended balances",4,4,2,10.8183757628751,7.01826981727021
"inflationary pressures",7,7,2,10.6752471876759,11.0497664740124
"prime minister",5,5,2,10.5395011088648,9.89623703820897
"soldiers sailors",9,9,2,10.4668114751493,10.8781474807096
"mr speaker",6,6,2,10.4549634227412,7.00438478439838
"center malignant",3,3,2,10.4240714094978,8.96361929935847
"woman child",3,3,2,10.4240714094978,8.96361929935847
"impressive expression",3,3,2,10.4239604909535,6.70205609641227
"collective bargaining",13,13,2,10.3385253324152,13.5513576265529
"useful remunerative",3,3,2,10.298769616441,6.6431384181397
"maritime commission",8,8,2,10.2575867402005,6.97264995573099
"displaced persons",8,8,2,10.2124849963984,10.6607321004901
"export-import bank",5,5,2,10.1497312611156,6.77196440434207
"sailors marines",5,5,2,10.0874605227738,9.93787465663306
"shops farms",3,3,2,9.99640554527795,6.48966957584805
"man woman",4,4,2,9.94908830413505,6.57918977680204
"freely expressed",4,4,2,9.88681755887012,9.55466711598875
"quarterly report",3,3,2,9.76452072500784,6.36330066913813
"universal training",6,6,2,9.74363351824668,11.359858023682
"fascist tyranny",4,4,2,9.71973574264844,9.51835061101636
"elementary secondary",3,3,2,9.63553086137871,9.0474393814502
"quarter century",3,3,2,9.63553086137871,9.0474393814502
"antitrust laws",3,3,2,9.63525351887281,6.29023579570803
"mr hull",3,3,2,9.63525351887281,6.29023579570803
"artillery ammunition",3,3,2,9.5767180913763,9.71639291321453
"tennessee valley",5,5,2,9.57660716668019,10.9587365519524
"race creed",4,4,2,9.57660716668019,9.47181316718138
"detailed recommendations",4,4,2,9.53270597751052,6.33433411293157
"standard living",19,19,2,9.51572247919316,11.0101317558678
"purchasing power",14,14,2,9.50772250442591,6.58941600492745
"registered nurses",3,3,2,9.37042226454287,6.1358010718218
"wage earners",6,6,2,9.35560192486993,6.33849929715511
"monetary fund",4,4,2,9.34016292165346,9.36746304583797
"blood sons",3,3,2,9.32532047072686,8.94953442632243
