"topic","top_words"
1,"world, must, war, peace, us, can, people, nations, free, nation"
2,"government, upon, can, law, great, states, men, must, people, one"
3,"congress, year, new, federal, program, administration, programs, energy, also, years"
4,"states, united, may, government, congress, public, great, made, $, last"
5,"$, government, year, states, upon, united, congress, made, now, may"
6,"government, year, must, program, federal, congress, can, war, dollars, economic"
7,"people, america, can, new, must, us, american, now, years, americans"
8,"government, states, upon, public, can, may, country, people, congress, united"
9,"government, congress, can, made, public, country, $, upon, national, federal"
10,"states, united, government, congress, may, war, mexico, upon, $, country"
