"year","President","party","tough","polite","vague","tough_pct","polite_pct","vague_pct"
1790,"Washington","Independent",3,2,2,6,4,4
1790,"Washington","Independent",4,1,3,6.3391442155309,1.58478605388273,4.75435816164818
1791,"Washington","Independent",5,5,4,4.67289719626168,4.67289719626168,3.73831775700935
1792,"Washington","Independent",1,0,1,1.04275286757039,0,1.04275286757039
1793,"Washington","Independent",9,1,1,9.97782705099778,1.10864745011086,1.10864745011086
1794,"Washington","Independent",6,2,2,4.49101796407186,1.49700598802395,1.49700598802395
1795,"Washington","Independent",8,6,1,8.44772967265047,6.33579725448786,1.05596620908131
1796,"Washington","Independent",12,5,4,8.79120879120879,3.66300366300366,2.93040293040293
1797,"Adams","Federalist",5,2,2,5.08130081300813,2.03252032520325,2.03252032520325
1798,"Adams","Federalist",5,5,5,4.79386385426654,4.79386385426654,4.79386385426654
1799,"Adams","Federalist",2,4,1,2.82885431400283,5.65770862800566,1.41442715700141
1800,"Adams","Federalist",1,2,3,1.5600624024961,3.1201248049922,4.6801872074883
1801,"Jefferson","Democratic-Republican",12,3,12,7.94176042356056,1.98544010589014,7.94176042356056
1802,"Jefferson","Democratic-Republican",4,3,7,3.83877159309021,2.87907869481766,6.71785028790787
1803,"Jefferson","Democratic-Republican",4,8,2,3.65965233302836,7.31930466605673,1.82982616651418
1804,"Jefferson","Democratic-Republican",8,4,2,8.29875518672199,4.149377593361,2.0746887966805
1805,"Jefferson","Democratic-Republican",4,3,7,2.92611558156547,2.1945866861741,5.12070226773958
1806,"Jefferson","Democratic-Republican",9,4,5,6.64206642066421,2.9520295202952,3.690036900369
1807,"Jefferson","Democratic-Republican",11,4,4,9.70017636684303,3.52733686067019,3.52733686067019
1808,"Jefferson","Democratic-Republican",8,2,5,6.44122383252818,1.61030595813205,4.02576489533011
1809,"Madison","Democratic-Republican",3,4,0,3.68098159509202,4.9079754601227,0
1810,"Madison","Democratic-Republican",8,2,2,6.95047784535187,1.73761946133797,1.73761946133797
1811,"Madison","Democratic-Republican",6,7,3,5.57103064066852,6.49953574744661,2.78551532033426
1812,"Madison","Democratic-Republican",12,5,2,8.05910006715917,3.35795836131632,1.34318334452653
1813,"Madison","Democratic-Republican",16,4,3,10.5960264900662,2.64900662251656,1.98675496688742
1814,"Madison","Democratic-Republican",10,2,3,9.765625,1.953125,2.9296875
1815,"Madison","Democratic-Republican",17,6,3,11.1548556430446,3.93700787401575,1.96850393700787
1816,"Madison","Democratic-Republican",8,3,3,5.09229789942712,1.90961171228517,1.90961171228517
1817,"Monroe","Democratic-Republican",13,3,7,6.40078778926637,1.47710487444609,3.4465780403742
1818,"Monroe","Democratic-Republican",12,6,2,5.98802395209581,2.9940119760479,0.998003992015968
1819,"Monroe","Democratic-Republican",2,2,5,0.962463907603465,0.962463907603465,2.40615976900866
1820,"Monroe","Democratic-Republican",9,3,3,3.47088314693405,1.15696104897802,1.15696104897802
1821,"Monroe","Democratic-Republican",9,3,3,3.47088314693405,1.15696104897802,1.15696104897802
1822,"Monroe","Democratic-Republican",16,5,3,7.39713361072584,2.31160425335183,1.3869625520111
1823,"Monroe","Democratic-Republican",13,5,7,4.47042640990371,1.71939477303989,2.40715268225585
1824,"Monroe","Democratic-Republican",26,8,4,6.86015831134565,2.11081794195251,1.05540897097625
1825,"Adams","Democratic-Republican",24,7,6,5.76784426820476,1.68228791155972,1.44196106705119
1826,"Adams","Democratic-Republican",20,8,5,5.64493367202935,2.25797346881174,1.41123341800734
1827,"Adams","Democratic-Republican",10,10,4,3.09119010819165,3.09119010819165,1.23647604327666
1828,"Adams","Democratic-Republican",10,12,6,2.93427230046948,3.52112676056338,1.76056338028169
1829,"Jackson","Democratic",16,8,9,3.26997751890456,1.63498875945228,1.83936235438381
1830,"Jackson","Democratic",15,25,18,2.14776632302406,3.57961053837342,2.57731958762887
1831,"Jackson","Democratic",10,7,8,3.01750150875075,2.11225105612553,2.4140012070006
1832,"Jackson","Democratic",12,7,9,3.31217223295611,1.9321004692244,2.48412917471709
1833,"Jackson","Democratic",9,15,3,2.46507806080526,4.10846343467543,0.821692686935086
1834,"Jackson","Democratic",19,12,16,3.05220883534137,1.92771084337349,2.57028112449799
1835,"Jackson","Democratic",16,10,13,3.2507110930516,2.03169443315725,2.64120276310443
1836,"Jackson","Democratic",20,12,13,3.51432085749429,2.10859251449657,2.28430855737129
1837,"van Buren","Democratic",15,11,17,2.80007466865783,2.05338809034908,3.17341795781221
1838,"van Buren","Democratic",18,22,11,3.31858407079646,4.05604719764012,2.02802359882006
1839,"van Buren","Democratic",14,10,19,2.234280242579,1.595914458985,3.0322374720715
1840,"van Buren","Democratic",8,9,8,1.86784963810413,2.10133084286715,1.86784963810413
1841,"Tyler","Whig",11,6,7,2.86831812255541,1.5645371577575,1.82529335071708
1842,"Tyler","Whig",13,5,10,3.2844871147044,1.26326427488631,2.52652854977261
1843,"Tyler","Whig",10,4,7,2.68744961031981,1.07497984412792,1.88121472722386
1844,"Tyler","Whig",8,7,8,1.8348623853211,1.60550458715596,1.8348623853211
1845,"Polk","Democratic",29,9,13,3.82989963021659,1.18858954041204,1.71685155837295
1846,"Polk","Democratic",34,8,22,3.98920567875161,0.938636630294497,2.58125073330987
1847,"Polk","Democratic",49,14,6,6.42033542976939,1.83438155136268,0.786163522012579
1848,"Polk","Democratic",31,16,11,3.0981411153308,1.59904057565461,1.09934039576254
1849,"Taylor","Whig",9,10,8,2.53164556962025,2.81293952180028,2.25035161744022
1850,"Fillmore","Whig",13,12,10,3.33247885157652,3.07613432453217,2.56344527044348
1851,"Fillmore","Whig",24,13,13,3.84,2.08,2.08
1852,"Fillmore","Whig",9,8,6,1.9388194743645,1.723395088324,1.292546316243
1853,"Pierce","Democratic",13,15,11,2.82179292381159,3.2559149120903,2.38767093553288
1854,"Pierce","Democratic",32,7,7,6.44771307676808,1.41043723554302,1.41043723554302
1855,"Pierce","Democratic",28,13,7,5.0477735712998,2.34360915810348,1.26194339282495
1856,"Pierce","Democratic",25,11,5,5.01705799719045,2.2075055187638,1.00341159943809
1857,"Buchanan","Democratic",25,16,20,3.84911470361817,2.46343341031563,3.07929176289453
1858,"Buchanan","Democratic",30,9,19,3.86647763887099,1.1599432916613,2.44876917128496
1859,"Buchanan","Democratic",33,6,12,5.57338287451444,1.01334234082081,2.02668468164161
1860,"Buchanan","Democratic",28,12,9,4.2334442092531,1.81433323253704,1.36074992440278
1861,"Lincoln","Republican",16,6,8,4.80624812255933,1.80234304595975,2.40312406127966
1862,"Lincoln","Republican",10,14,10,2.48138957816377,3.47394540942928,2.48138957816377
1863,"Lincoln","Republican",13,4,5,4.35510887772194,1.34003350083752,1.6750418760469
1864,"Lincoln","Republican",11,5,4,3.80622837370242,1.73010380622837,1.3840830449827
1865,"Johnson","Democratic",20,17,7,4.65008137642409,3.95256916996047,1.62752848174843
1866,"Johnson","Republican",13,7,4,3.74208405296488,2.01496833621186,1.15141047783535
1867,"Johnson","Republican",29,8,8,5.03997219325686,1.39033715676051,1.39033715676051
1868,"Johnson","Republican",21,9,3,4.30327868852459,1.84426229508197,0.614754098360656
1869,"Grant","Republican",13,3,7,3.57044767920901,0.823949464432848,1.92254875034331
1870,"Grant","Republican",5,7,5,1.18455342335939,1.65837479270315,1.18455342335939
1871,"Grant","Republican",8,2,6,2.58564964447317,0.646412411118294,1.93923723335488
1872,"Grant","Republican",14,9,10,2.88600288600289,1.85528756957328,2.0614306328592
1873,"Grant","Republican",13,2,1,2.69095425377769,0.413992962119644,0.206996481059822
1874,"Grant","Republican",10,5,7,2.14868929952729,1.07434464976364,1.5040825096691
1875,"Grant","Republican",15,11,15,2.5706940874036,1.88517566409597,2.5706940874036
1876,"Grant","Republican",5,7,4,1.56445556946183,2.19023779724656,1.25156445556946
1877,"Hayes","Republican",19,14,8,3.66370998843039,2.69957578094871,1.54261473197069
1878,"Hayes","Republican",13,4,11,3.38718082334549,1.04220948410631,2.86607608129234
1879,"Hayes","Republican",23,10,7,4.08090844570617,1.77430801987225,1.24201561391057
1880,"Hayes","Republican",28,18,10,4.30239704978488,2.76582667486171,1.53657037492317
1881,"Arthur","Republican",17,10,10,2.61056511056511,1.53562653562654,1.53562653562654
1882,"Arthur","Republican",9,12,12,1.80577849117175,2.40770465489567,2.40770465489567
1883,"Arthur","Republican",9,9,2,2.20804710500491,2.20804710500491,0.490677134445535
1884,"Arthur","Republican",7,8,4,1.58766160127013,1.81447040145158,0.907235200725788
1885,"Cleveland","Democratic",24,11,16,2.50260688216893,1.14702815432742,1.66840458811262
1886,"Cleveland","Democratic",10,13,14,1.35795763172189,1.76534492123846,1.90114068441065
1887,"Cleveland","Democratic",2,4,5,0.789265982636148,1.5785319652723,1.97316495659037
1888,"Cleveland","Democratic",12,8,7,1.86654223051797,1.24436148701198,1.08881630113548
1889,"Harrison","Republican",21,10,9,3.38600451467269,1.61238310222509,1.45114479200258
1890,"Harrison","Republican",14,7,5,2.5,1.25,0.892857142857143
1891,"Harrison","Republican",10,9,10,1.30378096479791,1.17340286831812,1.30378096479791
1892,"Harrison","Republican",8,14,16,1.23571207908557,2.16249613839975,2.47142415817115
1893,"Cleveland","Democratic",19,9,13,3.09547083740632,1.46627565982405,2.11795373085696
1894,"Cleveland","Democratic",26,10,10,3.29322355921469,1.2666244458518,1.2666244458518
1895,"Cleveland","Democratic",11,8,14,1.51933701657459,1.10497237569061,1.93370165745856
1896,"Cleveland","Democratic",24,6,15,3.14053912588328,0.785134781470819,1.96283695367705
1897,"McKinley","Republican",23,4,15,3.89698407319553,0.677736360555744,2.54151135208404
1898,"McKinley","Republican",54,5,22,5.29931305201178,0.490677134445535,2.15897939156035
1899,"McKinley","Republican",46,18,13,4.06719717064545,1.59151193633952,1.14942528735632
1900,"McKinley","Republican",52,18,14,5.45073375262055,1.88679245283019,1.46750524109015
1901,"Roosevelt","Republican",24,17,16,2.54075799280119,1.79970357823417,1.69383866186746
1902,"Roosevelt","Republican",6,5,8,1.28727740828148,1.0727311735679,1.71636987770865
1903,"Roosevelt","Republican",13,7,10,1.76486559869671,0.950312245452077,1.3575889220744
1904,"Roosevelt","Republican",16,17,25,1.88679245283019,2.00471698113208,2.94811320754717
1905,"Roosevelt","Republican",31,16,28,2.58032295655069,1.33177959047778,2.33061428333611
1906,"Roosevelt","Republican",16,36,25,1.40721196130167,3.16622691292876,2.19876868953386
1907,"Roosevelt","Republican",19,25,23,1.43917588244205,1.89365247689744,1.74216027874564
1908,"Roosevelt","Republican",14,16,9,1.48588410104012,1.69815325833156,0.955211207811505
1909,"Taft","Republican",18,20,25,2.6615407363596,2.957267484844,3.696584356055
1910,"Taft","Republican",32,44,30,2.38574517259375,3.28039961231641,2.23663609930664
1911,"Taft","Republican",20,30,17,1.7223561832587,2.58353427488805,1.46400275576989
1912,"Taft","Republican",36,38,24,2.88994139841053,3.05049369832223,1.92662759894035
1913,"Wilson","Democratic",3,5,3,1.85070943861814,3.08451573103023,1.85070943861814
1914,"Wilson","Democratic",6,6,3,2.94985250737463,2.94985250737463,1.47492625368732
1915,"Wilson","Democratic",17,18,4,4.60829493087558,4.87937110328002,1.08430468961778
1916,"Wilson","Democratic",6,0,4,5.92300098716683,0,3.94866732477789
1917,"Wilson","Democratic",9,8,8,5.10493477027794,4.53771979580261,4.53771979580261
1918,"Wilson","Democratic",6,6,3,2.40673886883273,2.40673886883273,1.20336943441637
1919,"Wilson","Democratic",3,5,9,1.28700128700129,2.14500214500214,3.86100386100386
1920,"Wilson","Democratic",10,1,1,7.68049155145929,0.768049155145929,0.768049155145929
1921,"Harding","Republican",3,3,4,1.08303249097473,1.08303249097473,1.44404332129964
1922,"Harding","Republican",8,5,3,2.71831464492015,1.69894665307509,1.01936799184506
1923,"Coolidge","Republican",9,6,5,2.7002700270027,1.8001800180018,1.5001500150015
1924,"Coolidge","Republican",7,4,7,2.05580029368576,1.17474302496329,2.05580029368576
1925,"Coolidge","Republican",16,11,14,3.05810397553517,2.10244648318043,2.67584097859327
