"feature","frequency","rank","docfreq","group"
"fellow-citizens",5,1,5,"all"
"senate",4,2,4,"all"
"house",4,2,4,"all"
"representatives",4,2,4,"all"
"public",4,2,4,"all"
"affairs",3,6,3,"all"
"satisfaction",2,7,2,"all"
"present",2,7,2,"all"
"favorable",2,7,2,"all"
"prospects",2,7,2,"all"
"much",2,7,2,"all"
"prosperity",2,7,2,"all"
"embrace",1,13,1,"all"
"great",1,13,1,"all"
"opportunity",1,13,1,"all"
"now",1,13,1,"all"
"presents",1,13,1,"all"
"congratulating",1,13,1,"all"
"meeting",1,13,1,"all"
"feel",1,13,1,"all"
